"lab_id","date_collected","site","lab_sample","date_processed","height_mm","condition","sample_notes","mantle_rftm","ggr1_frozen","ggr2_etoh","cross_histology","date_davidsons","date_etoh","...15","...16","...17","ww_total_g","length_mm","width_mm","dissection_notes","ggr1_etoh","adductor_etoh","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...18","...19","...20"
"1023GOLD_29",2023-10-16,"GOLD",29,2023-10-17,86.68,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,49.45,59.05,27.74,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_30",2023-10-16,"GOLD",30,2023-10-17,105.78,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,55.89,49.48,21.06,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023LAUR_01",2023-10-17,"LAUR",1,2023-10-18,108.53,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-18,2023-10-19,NA,NA,NA,158.82,85.99,33.08,"conchiolin",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023LAUR_02",2023-10-17,"LAUR",2,2023-10-18,114.85,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-18,2023-10-19,NA,NA,NA,251.66,93.42,37.27,"conchiolin and mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023LAUR_03",2023-10-17,"LAUR",3,2023-10-18,107.98,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-18,2023-10-19,NA,NA,NA,169,80.69,28.88,"conchiolin and mud blister; poor histology sample",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023LAUR_04",2023-10-17,"LAUR",4,2023-10-18,103.22,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-18,2023-10-19,NA,NA,NA,159.97,86.94,36.28,"conchiolin and mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023LAUR_05",2023-10-17,"LAUR",5,2023-10-18,117.79,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-18,2023-10-19,NA,NA,NA,149.24,68.52,32.83,"conchiolin and mud blister and boring sponges",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023LAUR_06",2023-10-17,"LAUR",6,2023-10-18,112.92,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-18,2023-10-19,NA,NA,NA,152.6,75.94,31.88,"conchiolin and mud blister and boring sponges",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023LAUR_07",2023-10-17,"LAUR",7,2023-10-18,103.29,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-18,2023-10-19,NA,NA,NA,142.18,82.62,34.75,"conchiolin and mud blister and boring sponges and pea crab",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023LAUR_08",2023-10-17,"LAUR",8,2023-10-18,113.37,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-18,2023-10-19,NA,NA,NA,211.11,84.76,35.05,"conchiolin and mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
