"Date","Sample_ID","Concentration","Units"
"20/06/2024 12:00:19 PM","0623FENC_10",57.6,"ng/uL"
"20/06/2024 12:00:19 PM","0623FENC_11",78.8,"ng/uL"
"20/06/2024 12:00:19 PM","0623FENC_12",30,"ng/uL"
"20/06/2024 12:05:20 PM","0623FENC_13",83.6,"ng/uL"
"20/06/2024 12:00:19 PM","0623FENC_14",33.9,"ng/uL"
"20/06/2024 12:00:19 PM","0623FENC_15",308,"ng/uL"
"20/06/2024 12:00:19 PM","0623FENC_16",48.4,"ng/uL"
"20/06/2024 12:01:21 PM","0623FENC_17",86.8,"ng/uL"
"20/06/2024 12:01:21 PM","0623FENC_18",57.6,"ng/uL"
"20/06/2024 12:01:21 PM","0623FENC_19",32.3,"ng/uL"
"20/06/2024 12:01:21 PM","0623FENC_20",23.3,"ng/uL"
"20/06/2024 12:01:21 PM","0623FENC_21",106,"ng/uL"
"20/06/2024 12:01:21 PM","0623FENC_22",130,"ng/uL"
"20/06/2024 12:01:21 PM","0623FENC_23",30.8,"ng/uL"
"20/06/2024 12:01:21 PM","0623FENC_24",52.4,"ng/uL"
"20/06/2024 12:05:20 PM","0623FENC_25",31.8,"ng/uL"
"20/06/2024 12:05:20 PM","0623FENC_26",82.4,"ng/uL"
"20/06/2024 12:05:20 PM","0623FENC_27",59.2,"ng/uL"
"20/06/2024 12:05:20 PM","0623FENC_28",33.8,"ng/uL"
"20/06/2024 12:05:20 PM","0623FENC_29",182,"ng/uL"
"20/06/2024 12:05:20 PM","0623FENC_30",56.4,"ng/uL"
"20/06/2024 02:05:38 PM","0623GOLD_01",38.6,"ng/uL"
"20/06/2024 02:05:38 PM","0623GOLD_02",46.4,"ng/uL"
"20/06/2024 02:05:38 PM","0623GOLD_03",207,"ng/uL"
"20/06/2024 02:05:38 PM","0623GOLD_04",52,"ng/uL"
"20/06/2024 02:05:38 PM","0623GOLD_05",206,"ng/uL"
"20/06/2024 02:05:38 PM","0623GOLD_06",53.2,"ng/uL"
"20/06/2024 02:05:38 PM","0623GOLD_07",29.9,"ng/uL"
"20/06/2024 02:05:38 PM","0623GOLD_08",47.2,"ng/uL"
"20/06/2024 02:05:59 PM","0623GOLD_09",49.6,"ng/uL"
"20/06/2024 02:05:59 PM","0623GOLD_10",92,"ng/uL"
"20/06/2024 02:05:59 PM","0623GOLD_11",84,"ng/uL"
"20/06/2024 02:05:59 PM","0623GOLD_12",29.8,"ng/uL"
"20/06/2024 02:05:59 PM","0623GOLD_13",57.2,"ng/uL"
"20/06/2024 02:05:59 PM","0623GOLD_14",38.4,"ng/uL"
"20/06/2024 02:05:59 PM","0623GOLD_15",35,"ng/uL"
