"Location Properties"
"Location Name = AshCreek"
"Location ID = 82862c1c-6906-4407-9675-91cd165864a7"
""
"Report Properties"
"Start Time = 2024-08-26 11:42:38"
"Duration = 55.20:00:06"
"Readings = 2681"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 1005261"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = ASHC_2024_SONDE5261"
"Log Type = Linear"
"Log File Number = 9"
"Log ID = 72cf1513-30bc-40ff-90c0-df10bf61485c"
"Log Wrapping Enabled = True"
"Interval = 00:30:00"
""
""
"Date Time","pH (pH) (982925)","pH mV (mV) (982925)","ORP (mV) (982925)","Actual Conductivity (µS/cm) (1026742)","Specific Conductivity (µS/cm) (1026742)","Salinity (PSU) (1026742)","Resistivity (Ω⋅cm) (1026742)","Density (g/cm³) (1026742)","Total Dissolved Solids (ppt) (1026742)","RDO Concentration (mg/L) (1003422)","RDO Saturation (%Sat) (1003422)","Oxygen Partial Pressure (Torr) (1003422)","Chlorophyll-a Fluorescence (RFU) (1005348)","Temperature (°C) (1005261)","External Voltage (V) (1005261)","Battery Capacity (%) (1005261)","Barometric Pressure (mm Hg) (1005261)"
"2024-08-27 17:12:38","8.072431","-70.66727","363.547","41646.406","41204.73","26.807974","24.011675","1.0170004","26.783075","9.634536","135.7061","190.19069","0.02379437","25.561209","0.063","92","767.6374"
"2024-08-27 17:42:38","8.053277","-69.503784","368.92096","41465.926","41120.44","26.744877","24.116186","1.016989","26.728287","9.384125","131.85591","184.83853","0.026193017","25.439884","0.063","92","767.6374"
"2024-08-27 18:12:38","8.00974","-66.87641","378.44342","41488.33","41309.863","26.878181","24.103165","1.0171524","26.851412","8.805437","123.36317","173.0048","0.048450127","25.226185","0.054","92","767.6374"
"2024-08-27 18:42:38","7.962528","-64.07738","379.9693","41285.17","41121.793","26.74175","24.221771","1.0170552","26.729166","8.28348","115.92434","162.57825","0.026651317","25.20801","0.054","92","767.6374"
"2024-08-27 19:12:38","7.927715","-62.031746","385.43384","41434.37","41212.35","26.8086","24.134552","1.0170836","26.788029","8.30629","116.43639","163.27309","0.021704456","25.282053","0.054","92","767.6374"
"2024-08-27 19:42:38","7.9201584","-61.602592","376.74585","41473.293","41181.66","26.787968","24.111902","1.0170419","26.76808","8.101602","113.72753","159.44719","0.01764123","25.370764","0.054","92","767.6374"
"2024-08-27 20:12:38","7.8655777","-58.3601","371.72003","41452.56","41199.004","26.79966","24.123962","1.017065","26.779352","7.4420123","104.38805","146.36693","0.016557572","25.322218","0.063","92","767.6374"
"2024-08-27 20:42:38","7.840496","-56.886673","381.28534","41382.227","41079.918","26.714603","24.164963","1.0169824","26.701946","7.183546","100.82347","141.35156","0.012864178","25.385286","0.054","92","767.6374"
"2024-08-27 21:12:38","7.8384356","-56.786537","375.73022","41422.14","41029.9","26.680416","24.141678","1.0169226","26.669436","7.188476","101.073425","141.67017","0.016789816","25.500517","0.054","92","767.6374"
"2024-08-27 21:42:38","7.7906404","-53.973198","373.985","41309.777","40837.49","26.543047","24.207344","1.016788","26.544369","6.8231153","96.03488","134.58017","0.013370434","25.605505","0.054","92","767.6374"
"2024-08-27 22:12:38","7.7874646","-53.81584","371.95367","41005.51","40405.754","26.233957","24.386965","1.0165046","26.263739","6.8124814","95.99981","134.48543","0.014112039","25.777136","0.063","92","767.6374"
"2024-08-27 22:42:38","7.7214804","-49.910545","392.58167","40575.3","39943.504","25.901329","24.645535","1.0162395","25.963278","6.3565674","89.48483","125.34598","0.013904376","25.828133","0.063","92","767.6374"
"2024-08-27 23:12:38","7.6841493","-47.659874","409.03253","39439.67","38991.176","25.212814","25.35518","1.0157894","25.344265","6.038397","84.34644","118.20115","0.014457598","25.602224","0.063","92","767.6374"
"2024-08-27 23:42:38","7.599063","-42.619705","416.0611","38556.16","38098.902","24.573689","25.936193","1.0153017","24.764286","5.3269143","74.17242","103.93816","0.015372708","25.628368","0.063","92","767.6374"
"2024-08-28 00:12:38","7.549721","-39.691925","410.93988","38203.16","37763.89","24.333862","26.175844","1.0151273","24.546528","4.6635065","64.82526","90.84339","0.010649189","25.609001","0.063","92","767.6374"
"2024-08-28 00:42:38","7.4598374","-34.356117","402.08978","36132.53","35760.652","22.907122","27.675892","1.0140753","23.244425","4.719145","64.997574","91.09641","0.01172567","25.544455","0.063","92","767.6374"
