"Location Properties"
"Location Name = Gold Star Beach, NY"
"Location ID = ec19e1b1-9de7-4230-9910-8f32e59cfdab"
""
"Report Properties"
"Start Time = 2024-09-16 10:50:10"
"Duration = 28.23:30:03"
"Readings = 1392"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 1005052"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = Log_0624GOLD"
"Log Type = Linear"
"Log File Number = 9"
"Log ID = b5c2cf2d-2d6c-4d2d-a0ff-11326b002e59"
"Log Wrapping Enabled = True"
"Interval = 00:30:00"
""
""
"Date Time","Chlorophyll-a Fluorescence (RFU) (994333)","pH (pH) (1111279)","pH mV (mV) (1111279)","ORP (mV) (1111279)","Actual Conductivity (µS/cm) (1024259)","Specific Conductivity (µS/cm) (1024259)","Salinity (PSU) (1024259)","Resistivity (Ω⋅cm) (1024259)","Density (g/cm³) (1024259)","Total Dissolved Solids (ppt) (1024259)","RDO Concentration (mg/L) (1003691)","RDO Saturation (%Sat) (1003691)","Oxygen Partial Pressure (Torr) (1003691)","Temperature (°C) (1005052)","External Voltage (V) (1005052)","Battery Capacity (%) (1005052)","Barometric Pressure (mm Hg) (1005052)"
"2024-09-18 15:20:11","1.57935","7.5941296","-59.084892","83.99113","37332.785","39168.797","25.280651","26.786108","1.0167066","25.459719","6.5528016","86.185905","121.16259","22.545845","0.018","99","772.6816"
"2024-09-18 15:50:11","1.1101449","7.7384152","-67.60597","89.822845","37083.26","38718.832","24.96447","26.966345","1.016402","25.167242","8.111204","106.95281","150.29662","22.788363","0.027","99","772.6816"
"2024-09-18 16:20:11","1.4223816","7.7295575","-67.10529","95.04898","37133.574","38705.133","24.956615","26.929808","1.0163727","25.158337","7.4584413","98.49267","138.38792","22.87417","0.027","99","772.6816"
"2024-09-18 16:50:11","1.601784","7.819577","-72.41726","100.61844","37106.574","38600.38","24.883966","26.949402","1.0162907","25.090248","8.503088","112.44114","157.95978","22.973862","0.018","99","772.6816"
"2024-09-18 17:20:11","2.4466975","7.7924294","-70.819855","102.86911","37127.824","38629.71","24.904722","26.933977","1.0163088","25.109312","8.429772","111.46625","156.5927","22.964445","0.027","99","772.6816"
"2024-09-18 17:50:11","1.4566504","7.785574","-70.41931","103.42224","37131.88","38626.61","24.902716","26.931036","1.0163047","25.107296","8.409135","111.21113","156.2318","22.973984","0.027","99","772.6816"
"2024-09-18 18:20:11","1.9997958","7.7902064","-70.68157","104.23763","37130.445","38657.156","24.923622","26.932077","1.0163319","25.127151","8.192904","108.28369","152.12999","22.93227","0.018","99","772.6816"
"2024-09-18 18:50:11","3.3409066","7.6885333","-64.64958","99.21654","36149.3","37837.832","24.33304","27.663052","1.0159593","24.594591","8.225334","107.81997","151.54677","22.66359","0.027","99","772.6816"
"2024-09-18 19:20:11","4.170031","7.7635827","-69.088936","97.60483","36901.863","38512.71","24.817682","27.098902","1.0162852","25.033262","8.162679","107.58229","151.17566","22.810139","0.018","99","772.6816"
"2024-09-18 19:50:11","2.811759","7.7438354","-67.93022","94.98222","37071.656","38686.617","24.942036","26.974787","1.016378","25.146301","7.7337728","102.01063","143.34526","22.814415","0.018","99","772.6816"
